Article ID,Human Label,Agent Label,Match
1,International politics,World News,TRUE
2,Public Safety,World News,TRUE
3,Crime,Crime and Justice,TRUE
4,International politics,International Relations,TRUE
5,Entertainment,Entertainment,TRUE
6,Technology,Technology,TRUE
7,Politics,Politics,TRUE
8,US policy,Politics & Policy,TRUE
9,Technology,Technology,TRUE
10,Electric Car,Environment,TRUE
11,Foreign Policy,Sports,FALSE
12,Science,Science and Technology,TRUE
13,Accident,World News,TRUE
14,Local policy,Politics & Policy,TRUE
15,Immigration,Politics & Policy,TRUE
16,Religion,Media,FALSE
17,Politics,Politics,TRUE
18,Media,Media,TRUE
19,Environment,Environment,TRUE
20,Entertainment,Entertainment,TRUE
