Article ID,Human Label,Agent Label,Match
1,Against,Neutral,FALSE
2,Neutral,Neutral,TRUE
3,Neutral,Neutral,TRUE
4,Neutral,Neutral,TRUE
5,Against,Deny,TRUE
6,Against,Deny,TRUE
7,Against,Support,FALSE
8,Support,Support,TRUE
9,Support,Support,TRUE
10,Support,Support,TRUE
11,Neutral,Agree,FALSE
12,Support,Support,TRUE
13,Support,Support,TRUE
14,Neutral,Neutral,TRUE
15,Neutral,Support,FALSE
16,Against,Neutral,FALSE
17,Neutral,Deny,FALSE
18,Against,Support,FALSE
19,Neutral,Support,FALSE
20,Neutral,Support,FALSE
