Article ID,Human Label,Agent Label,Match
1,Against,Deny,TRUE
2,Neutral,Neutral,TRUE
3,Neutral,Neutral,TRUE
4,Neutral,Neutral,TRUE
5,Against,Support,FALSE
6,Against,Support,FALSE
7,Against,Support,FALSE
8,Support,Neutral,FALSE
9,Support,Support,TRUE
10,Support,Support,TRUE
11,Neutral,Support,FALSE
12,Support,Support,TRUE
13,Support,Neutral,FALSE
14,Neutral,Neutral,TRUE
15,Neutral,Neutral,TRUE
16,Against,Support,FALSE
17,Neutral,Neutral,TRUE
18,Against,Support,FALSE
19,Neutral,Support,FALSE
20,Neutral,Support,FALSE
