Article ID,Human Label,Agent Label,Match
1,Accurate,Inaccurate,FALSE
2,Accurate,Inaccurate,FALSE
3,Accurate,Accurate,TRUE
4,Accurate,Accurate,TRUE
5,Accurate,Inaccurate,FALSE
6,Accurate,Accurate,TRUE
7,Inaccurate,Inaccurate,TRUE
8,Accurate,Accurate,TRUE
9,Accurate,Accurate,TRUE
10,Inaccurate,Accurate,FALSE
11,Accurate,Inaccurate,FALSE
12,Accurate,Accurate,TRUE
13,Accurate,Inaccurate,FALSE
14,Inaccurate,Accurate,FALSE
15,Inaccurate,Accurate,FALSE
16,Inaccurate,Inaccurate,TRUE
17,Inaccurate,Inaccurate,TRUE
18,Accurate,Accurate,TRUE
19,Accurate,Accurate,TRUE
20,Accurate,Accurate,TRUE
