Article ID,Human Label,Agent Label,Match
1,International politics,Foreign Policy,TRUE
2,Public Safety,Politics / Governance (Hong Kong),TRUE
3,Crime,Crime & Justice,TRUE
4,International politics,Foreign Policy / Global,TRUE
5,Entertainment,Entertainment,TRUE
6,Technology,Digital Culture,TRUE
7,Politics,Politics,TRUE
8,US policy,Foreign Policy,FALSE
9,Technology,Industrial / Technology,TRUE
10,Electric Car,Environment / Energy,TRUE
11,Foreign Policy,Sports / Society,FALSE
12,Science,Science / Technology | United States,TRUE
13,Accident,Public Safety / Disaster,TRUE
14,Local policy,Lifestyle / Travel,FALSE
15,Immigration,Immigration,TRUE
16,Religion,Religion,TRUE
17,Politics,Politics,TRUE
18,Media,Media & Technology,TRUE
19,Environment,Environment,TRUE
20,Entertainment,Entertainment / United States,TRUE
